"id","name","city","address","latitude","longitude","future_event_count","future_session_count"
"de931257-768a-44b4-a0a8-6fafeda9f46e","Vitrin","Gaziantep","Hoşgör, Adres No 1629728104, 15010 Sokak No3, 27200 Şahinbey/Gaziantep \n\nBoğaziçi Bulvarı,Özel İdare Anadolu Lisesi Karşısı","37.05518576","37.3715112","0","0"
"3936d539-071f-471e-8b8d-7c17541de01a","Vittoria Bodrum","Muğla","Cevat Şakir Cad. Ticaret Ve Kültür Merkezi No:4 Bodrum Merkez/Muğla","37.03762281","27.4346508","0","0"
"ef75eab0-1ead-4cf8-ae7c-aec4b0171c78","Volkswagen Arena","İstanbul","Volkswagen Arena, AYAZAĞA, İstanbul, Türkiye","41.108889","29.008007","8","22"
"c7d15feb-23bc-48ea-a310-904bc2a0b93d","Volume Alsancak","İzmir","Alsancak, 1482. Sk. No:18, 35220 Konak/İzmir","38.43818696","27.14295648","0","0"
"3537e95a-ee23-42b0-91d1-2e08e0533246","VonResort Abant /","Bolu","Abant Sapağı 3. Km BOLU","40.7069388","31.45699463","0","0"
"3f11f144-634b-458f-8d1d-fd9c3ff92906","Voobee Coffee","Aydın","Hasan efendi Mah, 1905. Sk. no:9, 09100 Efeler/Aydın","37.85151944","27.84283823","0","0"
"ab6050db-e69f-4fb8-ae4a-bed188aa78db","Vortex Art Club","Ankara","VORTEX ART CLUB, Barbaros, Tunalı Hilmi Cd. No:99, 06680 Çankaya/Ankara","39.90541227","32.86074677","0","0"
"dc217be8-7e76-418a-9a54-e5d0711a606c","WAVE","Ankara","Remzi Oğuz Arık, Tunalı Hilmi Cd. No:106, 06000 Çankaya/Ankara","39.90370746","32.86011658","0","0"
"26ea17b4-859b-4750-8c72-4f55c7346c84","Wabi Sabi Hostel Rooftop Bar","İstanbul","İnönü Mahallesi, Papa Roncalli Sokak No:34, Şişli/İstanbul","41.04358103","28.98550352","0","0"
"0369e943-413a-4b04-a471-86284d393dd9","Wake Cup Art (Şehzadeler )","Manisa","Peker Mahallesi  Avni Gemicioğlu NO:20/A Sehzadeler/Manisa","38.61831622","27.4294551","0","0"
"7d5a38ae-77b4-40a6-8aba-872aea682606","Walk Inn","Ankara","Beytepe, Kentform İş Merkezi ic kapi, Kanuni Sultan Süleyman Blv, 06800 Çankaya/Ankara","39.87178104","32.70394054","0","0"
"8f7cc836-7df5-4c36-8da3-50bed717668b","Watergarden Black Box Sahne","İstanbul","Barbaros Mahallesi Kızılbegonya Sokak Watergarden AVM","41.09659206","29.10601139","0","0"
"db02a649-70bc-4411-929a-0af760e38e48","Watergarden Gig’s Sahne","İstanbul","Barbaros Mahallesi Kızılbegonya Sokak Watergarden AVM, 34746 ATAŞEHIR / İstanbul","40.99771198","29.09960587","0","0"
"3bd6bf57-97ed-4a3f-b10d-82d1e4c1877c","Watergarden Performans Merkezi - İstanbul","İstanbul","Barbaros Mah, Kızılbegonya Sok 10/1, 34746 Ataşehir/İstanbul","40.997671","29.099601","1","1"
"3db6b588-1ddf-4306-b28e-152e6f73d8b9","Wedding Garden Bademli","Bursa","Çağrışan, Eski Mudanya Yolu No:35, 16940 Mudanya/Bursa","0","0","1","1"
"dfb42a14-0ac8-40d2-84e2-a94185f420a2","Westpark AVM","İzmir","Westpark AVM. R. Şevket İnce Mh. 2148/9 Sk. No:4 K:2 Bayraklı / İZMİR","38.48086025","27.17943383","0","0"
"efefb574-bc05-4097-b84d-8e47bd1af5b2","Westpark Outlet Alışveriş Merkezi","İzmir","R. Şevket İnce, Mah. 2148/9 Sokak No:4, 35540 Bayraklı/İzmir","38.4805145","27.179452","0","0"
"5ee44fd7-9285-4518-b732-39c254d37f49","What The Coffee Yeşilköy","İstanbul","Yeşilköy, Demiryolu Cd. No:1, 34140 Bakırköy/İstanbul","40.9623524","28.82484378","0","0"
"9b6d2112-0415-4a64-b452-0e0e5fe42664","White Birds Art Center - Kuşadası","Aydın","Camikebir Mah.,Sakarya Sok No 15, 09400 Kuşadası / Aydın","37.860767","27.258236","0","0"
"067a2b2d-a1f6-4d0f-bc7e-784f974bc3f7","Wild Cocktail Bar","İzmir","Mustafa Kemal Sahil Bulvarı No:211 Konak/Karataş","38.41046236","27.11344293","0","0"
"d607b871-7a29-423a-8d4c-f583a7d78fd5","Windyhill Hotel","Elazığ","Esen Tepe, 23200 Elâzığ Merkez/Elazığ","38.70075507","39.2155698","0","0"
"654d790a-a3f4-4816-ac17-f9034d311a3d","Withco Coworking","İzmir","Withco Coworking, Çınarlı, 1572. Sk. No:33, 35170 Konak/İzmir","38.44215367","27.17217404","0","0"
"84d6d181-1073-4d0e-a555-a50684795e82","WoW Coffee & Moctail Bornova","İzmir","WoW Coffee & Moctail Kazımdirik, Sanayi Cd. No:17/G, 35100 Bornova/İzmir","38.45339233","27.20360052","0","0"
"9b48103d-2fdb-45c8-b670-8329bee2ab28","WoW Coffee Buca","İzmir","Adatepe, 30. Sk., 35400 Buca/İzmir","38.38603718","27.17920512","0","0"
"f6820d36-15b6-43f9-b687-d3232dc03d2c","Woo Town Suites","Antalya","Tuzcular, Uzun Çarşı Sk. No: 21, 07100 Muratpaşa/Antalya","36.88535094","30.70545717","0","0"
"74abd44c-2d85-4e05-a9a7-acfae7786b4e","Wooden Stage","Muğla","Çiftlik, Kumsal Sk. No: 73, 48300 Fethiye/Muğla","36.67944999","29.08427297","0","0"
"8e173df4-69dc-4f3e-a119-f6df171ed187","Woodstock Kadıköy","İstanbul","Osmanağa, Osmancık Sk., 34710 Kadıköy/İstanbul","41.08448164","29.05610826","0","0"
"49edd9f6-451c-4fe4-b462-ccbc773e2c9f","Woody Woodpecker Pub","Antalya","Tuzcular, Paşa Cami Sk. No:36, 07100 Muratpaşa/Antalya","37.01082749","30.65563714","0","0"
"9f7da3c4-1a7b-42fa-999c-b5de44ed0abb","Workinton  Nilüfer","Bursa","Cumhuriyet, Fatih Sultan Mehmet Blv., 16140 Ni̇lüfer/Bursa","40.21964053","28.97755823","0","0"
"32c84321-27db-4fab-b0cb-37d4034413a4","Wow Coffe & Moctail Alaçatı","İzmir","Alaçatı Mahallesi, 10031 Sokak No: 1 Alaçatı Çeşme- İzmir / Wow Coffee & Cocktail","38.29349224","26.38283052","0","0"
"edb76fba-f45d-4b0e-b610-03e6cd1227d1","Wyndham  Thermal & Spa","Afyonkarahisar","Hürriyet, ATATURK BULVARI NO:20, 03218 Afyonkarahisar Merkez/Afyonkarahisar","38.78548718","30.48069229","0","0"
"5e9d465c-aa6b-4071-ac1b-e3b678436d31","Wyndham Garden","Diyarbakır","Yenişehir, Dr. Şeref İnalöz Cd. No:28, 21000 Yenişehir/Diyarbakır","37.92409191","40.25080569","0","0"
"bfba30c6-36a2-4755-bd79-747bf1c619c4","Wyndham Grand","Kayseri","Gevhernesibe, Tekin Sk. No:2, 38110 Kocasinan/Kayseri","38.72335658","35.48571342","1","1"
"a5b9c4be-1c7f-4f1b-ab16-d01cb93887e2","Wyndham Grand İstanbul Levent","İstanbul","Wyndham Grand İstanbul Levent\n, ŞİŞLİ, İstanbul, Türkiye","41.07785","29.012422","1","1"
"0ec92229-da6d-4584-9ada-24b3356df051","X Media Art Museum","İstanbul","Ataşehir Atatürk, Bulvarı, Ertuğrul Gazi Sk. No:2, 34758 Ataşehir/İstanbul","40.99317","29.12541","1","26"
"e3a7cc14-61a8-4ff3-9cd9-fc1fcadca2a9","XOYO Alaçatı","İzmir","Alaçatı, 18001 Sokak No:3, 35930 Çeşme/İzmir","38.23195527","26.36527556","0","0"
"d17141f6-ea1e-4cbd-8bba-9fc034d6d100","XXXXXUrla Sahne","İzmir","Rüstem mahallesi, Çiçek sokak No 2/A\nURLA / İzmir","38.35095655","26.76463426","0","0"
"d781a507-c94e-4de5-8c88-10849afe6b6e","XXXXXXXXXXXXXXXXXBoyoz Akademi Sanat Merkezi","İzmir","Tuna Mah.1713 Sokak, Tiyatro Sk. No:38, 35260 Karşıyaka","38.45762537","27.11857525","0","0"
"288aa08d-faaa-45ea-9d35-d766adcdb901","XXXXXXXXXXXXboyoz Akademi Sanat Merkezi (Büyük Sahne)","İzmir","Tuna Mh. Tiyatro Sk. No: 38 Karşıyaka Çarşı İçi İzmir","38.45762537","27.11857525","0","0"
"b05efd35-a3a8-40b2-a9e6-9310fb1054b4","Xperia Saray Beach Hotel","Antalya","Saray, Atatürk Blv. No:151, 07400 Alanya/Antalya","36.55274338","31.98219204","0","0"
"0b55a35e-6ebc-4c37-9950-322493e444da","YASAR BERLİN KONGRE MERKEZİ","Berlin","berlin","1","2","0","0"
"4ddf1336-f91b-4cf4-8e57-edb5ff72a9fb","YASAR TEST MEKAN","İzmir","izmir","38.44629797","27.1462065","0","0"
"512a5868-04cb-4bd1-9827-49553fa836fb","YBY Woods Yaşam ve Etkinlik Alanı - Kemerburgaz Kent Ormanı","İstanbul","Göktürk Merkez, Kemerburgaz Kent Ormanı, Pirinççi Köyü Kemerburgaz Yolu, 34076 Eyüpsultan/İstanbul","41.15947311","28.89108763","0","0"
"b49d305f-eb66-4dd3-a222-e70a53beaf05","YILDIZ ENTEGRE KOCAELİ STADYUMU","Kocaeli","Alikahya Atatürk, Tunaoğlu Cad., 41310 İzmit/Kocaeli","0","0","1","1"
"e8e608b1-8c89-4b09-af27-7e93b5a1efe9","Yahya Kemal Beyatlı Gösteri Merkezi","İstanbul","Halkalı Merkez, Aytaç Mevkii, Fatih Cd., 34295 Küçükçekmece/İstanbul","41.13264596","28.80277499","0","0"
"f4807e0b-fe06-4ac1-a0c6-96e6c052fe6a","Yahya Kemal Beyatlı KM Küçük Salon","Tekirdağ","Hürriyet, 59020 Süleymanpaşa/Tekirdağ MERKEZ / Tekirdağ","40.97998946","27.52971705","0","0"
"a98b9f2b-6a4e-447e-85f5-1ee5c6749251","Yakın Doğu Üniversitesi / Atatürk Kültür Merkezi - Lefkoşa","Kuzey Kıbrıs","Yakın Doğu Üniversitesi Lefkoşa Kıbrıs","35.2426771","33.34035274","0","0"
"79f232f5-6916-4cdc-afdc-959ef390e1a7","Yakın Tiyatro","Ankara","Maltepe Mahallesi Necatibey Caddesi No:102/A 06570 Çankaya/ANKARA","39.92017228","32.8461396","8","8"
"46f1c33a-be60-48a2-a05f-544aa4c317c4","Yalova Halk Eğitim Merkezi","Yalova","Yalova Halk Eğitim Merkezi, ÇINARCIK, Yalova, Türkiye","40.642862","29.119718","1","2"
"3e87ce24-6718-48b8-89e0-d1785d9d4d15","Yapı Kredi Bomontiada","İstanbul","Yapı Kredi Bomontiada, ŞİŞLİ, İstanbul, Türkiye","41.0588136372914","28.9807625693149","3","3"
"da273ae5-79e8-4ad6-914c-244216c3e797","Yapı Kredi bomontiada – Avlu","İstanbul","Merkez Mah., Silahşör Cad., Birahane Sok. Tarihi Bomonti Bira Fabrikası No:1, 34384 Şişli/İstanbul","41.058231","28.980071","4","4"
"4f36d9a9-b308-4fa8-9c8b-a8003ed49334","Yas Marina Circuit","İstanbul","Yas Marina Circuit, AYAZAĞA, İstanbul, Türkiye","24.464935","54.60842","1","1"
"37d9cc9b-e52e-4799-a7e7-629c67471013","Yazz Terrazza","İzmir","Mimar Sinan, 1486. Sk. No: 2, 35220 Konak/İzmir","38.43414708","27.148056","0","0"
"01e18cbc-57f2-4420-a67c-1fd69f4914a4","Yaşam Park","Zonguldak","Yenimahalle kırklar caddesi no:36 Devrek/ zonguldak","41.20555075","31.95108785","1","1"
"00d2f9ca-ab79-4fe6-aa78-2cc843a3ad0a","Yaşar Doğu Spor Salonu","Samsun","Cumhuriyet Cad.No:4/1 Tekkeköy/Samsun","41.24117081","36.42971806","0","0"
"1467cd0f-2a36-44a1-a1a8-9ce643328a12","Yaşar Kemal Kültür Merkezi","Adana","Yaşar Kemal Kültür Merkezi , SEYHAN, Adana, Türkiye","36.9916109","35.3188901","1","1"
"189576c7-0565-44cd-97b3-73254586d316","Yaşar Kemal Kültür Merkezi","İstanbul","Yaşar Kemal Kültür Merkezi, MALTEPE/KARTAL, İstanbul, Türkiye","40.9317783178845","29.132107826648","1","1"
"e8181642-1d85-4c3d-8fff-de09f87d8625","Yaşar Kemal Kültür ve Sanat Merkezi","Ankara","Oran, Zülfü Tiğrel Cd. No:3, 06450 Çankaya/Ankara","39.8474682","32.82789515","0","0"
"9bf470ef-072b-4c65-9bb7-885cb578f9fd","Yeldeğirmeni Sanat Merkezi","İstanbul","Yeldeğirmeni Sanat Merkezi, KADIKÖY, İstanbul, Türkiye","40.9963467697291","29.0278556268754","1","1"
"eb599604-241d-4640-b387-698a70058610","Yeni Adana Stadyumu","Adana","Yeni Adana Stadyumu, Balcalı, Çukurova Ünv., 01790 Sarıçam/Adana","37.0637","35.3754","0","0"
